,지역명,연도,월,평당분양가격
212,세종,2014,12,8560.0
213,강원,2014,12,6365.0
214,충북,2014,12,6743.0
215,충남,2014,12,6989.0
216,전북,2014,12,6583.0
217,전남,2014,12,5784.0
218,경북,2014,12,6989.0
219,경남,2014,12,7332.0
220,제주,2014,12,7739.0
221,서울,2015,1,20670.0
222,부산,2015,1,9204.0
223,대구,2015,1,8327.0
224,인천,2015,1,10017.0
225,광주,2015,1,7752.0
226,대전,2015,1,8067.0
227,울산,2015,1,8526.0
228,경기,2015,1,10391.0
229,세종,2015,1,8560.0
230,강원,2015,1,6348.0
231,충북,2015,1,6749.0
232,충남,2015,1,6976.0
233,전북,2015,1,6583.0
234,전남,2015,1,5784.0
235,경북,2015,1,6992.0
236,경남,2015,1,7592.0
237,제주,2015,1,7739.0
238,서울,2015,2,20670.0
239,부산,2015,2,9235.0
240,대구,2015,2,8416.0
241,인천,2015,2,9876.0
242,광주,2015,2,7756.0
243,대전,2015,2,8067.0
244,울산,2015,2,8526.0
245,경기,2015,2,10355.0
246,세종,2015,2,8560.0
247,강원,2015,2,6350.0
248,충북,2015,2,6747.0
249,충남,2015,2,6980.0
250,전북,2015,2,6583.0
251,전남,2015,2,5833.0
252,경북,2015,2,6953.0
253,경남,2015,2,7588.0
254,제주,2015,2,7739.0
255,서울,2015,3,19415.0
256,부산,2015,3,9279.0
257,대구,2015,3,8441.0
258,인천,2015,3,9876.0
259,광주,2015,3,7861.0
260,대전,2015,3,8067.0
261,울산,2015,3,8629.0
262,경기,2015,3,10469.0
263,세종,2015,3,8555.0
264,강원,2015,3,6182.0
265,충북,2015,3,6783.0
266,충남,2015,3,7161.0
267,전북,2015,3,6542.0
268,전남,2015,3,5825.0
269,경북,2015,3,6997.0
270,경남,2015,3,7668.0
271,제주,2015,3,7826.0
272,서울,2015,4,18842.0
273,부산,2015,4,9327.0
274,대구,2015,4,8446.0
275,인천,2015,4,9938.0
276,광주,2015,4,7914.0
277,대전,2015,4,8145.0
278,울산,2015,4,9380.0
279,경기,2015,4,10684.0
280,세종,2015,4,8546.0
281,강원,2015,4,6924.0
282,충북,2015,4,6790.0
283,충남,2015,4,7017.0
284,전북,2015,4,6551.0
285,전남,2015,4,5940.0
286,경북,2015,4,7006.0
287,경남,2015,4,7683.0
288,제주,2015,4,7285.0
289,서울,2015,5,18367.0
290,부산,2015,5,9345.0
291,대구,2015,5,8568.0
292,인천,2015,5,10551.0
293,광주,2015,5,7877.0
294,대전,2015,5,8272.0
295,울산,2015,5,9192.0
296,경기,2015,5,10685.0
297,세종,2015,5,8546.0
298,강원,2015,5,6846.0
299,충북,2015,5,6805.0
300,충남,2015,5,6975.0
301,전북,2015,5,6556.0
302,전남,2015,5,6050.0
303,경북,2015,5,6966.0
304,경남,2015,5,7717.0
305,제주,2015,5,7285.0
306,서울,2015,6,18374.0
307,부산,2015,6,9515.0
308,대구,2015,6,8542.0
309,인천,2015,6,10443.0
310,광주,2015,6,7881.0
311,대전,2015,6,8079.0
312,울산,2015,6,9190.0
313,경기,2015,6,10573.0
314,세종,2015,6,8671.0
315,강원,2015,6,6986.0
316,충북,2015,6,6682.0
317,충남,2015,6,6939.0
318,전북,2015,6,6601.0
319,전남,2015,6,6243.0
320,경북,2015,6,6887.0
321,경남,2015,6,7715.0
322,제주,2015,6,7343.0
323,서울,2015,7,18152.0
324,부산,2015,7,9559.0
325,대구,2015,7,8542.0
326,인천,2015,7,10443.0
327,광주,2015,7,8089.0
328,대전,2015,7,8079.0
329,울산,2015,7,9190.0
330,경기,2015,7,10518.0
331,세종,2015,7,8669.0
332,강원,2015,7,7019.0
333,충북,2015,7,6601.0
334,충남,2015,7,6935.0
335,전북,2015,7,6750.0
336,전남,2015,7,6286.0
337,경북,2015,7,7035.0
338,경남,2015,7,7723.0
339,제주,2015,7,7343.0
340,서울,2015,8,18443.0
341,부산,2015,8,9581.0
342,대구,2015,8,8795.0
343,인천,2015,8,10449.0
344,광주,2015,8,8231.0
345,대전,2015,8,8079.0
346,울산,2015,8,9215.0
347,경기,2015,8,10573.0
348,세종,2015,8,8695.0
349,강원,2015,8,7008.0
350,충북,2015,8,6603.0
351,충남,2015,8,6942.0
352,전북,2015,8,6580.0
353,전남,2015,8,6289.0
354,경북,2015,8,7037.0
355,경남,2015,8,7665.0
356,제주,2015,8,7343.0
357,서울,2015,10,19275.3
358,인천,2015,10,10437.9
359,경기,2015,10,10355.4
360,부산,2015,10,10269.599999999999
361,대구,2015,10,8850.6
362,광주,2015,10,7986.0
363,대전,2015,10,8098.2
364,울산,2015,10,10074.9
365,세종,2015,10,8718.6
366,강원,2015,10,7151.099999999999
367,충북,2015,10,6705.599999999999
368,충남,2015,10,6926.7
369,전북,2015,10,6778.2
370,전남,2015,10,6352.5
371,경북,2015,10,7088.4
372,경남,2015,10,7560.299999999999
373,제주,2015,10,7365.599999999999
374,서울,2015,11,19965.0
375,인천,2015,11,10507.199999999999
376,경기,2015,11,10223.4
377,부산,2015,11,10332.3
378,대구,2015,11,9071.699999999999
379,광주,2015,11,7999.2
380,대전,2015,11,8098.2
381,울산,2015,11,10041.9
382,세종,2015,11,8738.4
383,강원,2015,11,7164.299999999999
384,충북,2015,11,6613.2
385,충남,2015,11,6930.0
386,전북,2015,11,6788.099999999999
387,전남,2015,11,6299.7
388,경북,2015,11,7227.0
389,경남,2015,11,7583.4
390,제주,2015,11,7365.599999999999
391,서울,2015,12,19935.3
392,인천,2015,12,10507.199999999999
393,경기,2015,12,10553.4
394,부산,2015,12,10319.099999999999
395,대구,2015,12,9774.6
396,광주,2015,12,8170.799999999999
397,대전,2015,12,8098.2
398,울산,2015,12,10041.9
399,세종,2015,12,8794.5
400,강원,2015,12,7164.299999999999
401,충북,2015,12,6616.5
402,충남,2015,12,7487.7
403,전북,2015,12,6543.9
404,전남,2015,12,6299.7
405,경북,2015,12,7197.299999999999
406,경남,2015,12,7613.099999999999
407,제주,2015,12,7484.4
408,서울,2016,1,20156.399999999998
409,인천,2016,1,10530.3
410,경기,2016,1,10553.4
411,부산,2016,1,10401.599999999999
412,대구,2016,1,10183.8
413,광주,2016,1,8477.699999999999
414,대전,2016,1,8098.2
415,울산,2016,1,10051.8
416,세종,2016,1,8794.5
417,강원,2016,1,7170.9
418,충북,2016,1,6626.4
419,충남,2016,1,7491.0
420,전북,2016,1,6534.0
421,전남,2016,1,6299.7
422,경북,2016,1,7197.299999999999
423,경남,2016,1,7679.099999999999
424,제주,2016,1,7484.4
425,서울,2016,2,20166.3
426,인천,2016,2,10533.599999999999
427,경기,2016,2,10622.699999999999
428,부산,2016,2,10408.199999999999
429,대구,2016,2,10111.199999999999
430,광주,2016,2,8477.699999999999
431,대전,2016,2,8098.2
432,울산,2016,2,10051.8
433,세종,2016,2,8794.5
434,강원,2016,2,7170.9
435,충북,2016,2,6626.4
436,충남,2016,2,7497.599999999999
437,전북,2016,2,6534.0
438,전남,2016,2,6345.9
439,경북,2016,2,7190.7
440,경남,2016,2,7781.4
441,제주,2016,2,7484.4
442,서울,2016,3,20370.899999999998
443,인천,2016,3,10527.0
444,경기,2016,3,10609.5
445,부산,2016,3,10487.4
446,대구,2016,3,10292.699999999999
447,광주,2016,3,8547.0
448,대전,2016,3,8098.2
449,울산,2016,3,10117.8
450,세종,2016,3,8811.0
451,강원,2016,3,7240.2
452,충북,2016,3,6534.0
453,충남,2016,3,6979.5
454,전북,2016,3,6438.299999999999
455,전남,2016,3,6339.299999999999
456,경북,2016,3,7190.7
457,경남,2016,3,7863.9
458,제주,2016,3,7636.2
459,서울,2016,4,20595.3
