,행정구역,연도,월,평당분양가격,인구수,경제활동인구,소득
117,경상남도,2014,6,6615.0,3307369,1702000,267
118,제주특별자치도,2014,6,7914.0,583335,329000,224
119,서울특별시,2014,7,18742.0,9975163,5449000,319
120,부산광역시,2014,7,9457.0,3452309,1760000,255
121,대구광역시,2014,7,8360.0,2474900,1275000,235
122,인천광역시,2014,7,9974.0,2862241,1544000,263
123,광주광역시,2014,7,7612.0,1504582,753000,249
124,대전광역시,2014,7,8333.0,1552692,788000,280
125,울산광역시,2014,7,8153.0,1151171,572000,295
126,경기도,2014,7,10124.0,12282013,6488000,278
127,세종특별자치시,2014,7,8067.0,132437,0,0
128,강원도,2014,7,6268.0,1510198,743000,248
129,충청북도,2014,7,6586.0,1578403,848000,253
130,충청남도,2014,7,6805.0,2087600,1203000,284
131,전라북도,2014,7,6319.0,1829437,923000,246
132,전라남도,2014,7,5780.0,1791887,973000,278
133,경상북도,2014,7,6556.0,2670922,1485000,270
134,경상남도,2014,7,6613.0,3307369,1702000,267
135,제주특별자치도,2014,7,7914.0,583335,329000,224
136,서울특별시,2014,8,19274.0,9975163,5449000,319
137,부산광역시,2014,8,9411.0,3452309,1760000,255
138,대구광역시,2014,8,8370.0,2474900,1275000,235
139,인천광역시,2014,8,9973.0,2862241,1544000,263
140,광주광역시,2014,8,7622.0,1504582,753000,249
141,대전광역시,2014,8,8333.0,1552692,788000,280
142,울산광역시,2014,8,8493.0,1151171,572000,295
143,경기도,2014,8,10134.0,12282013,6488000,278
144,세종특별자치시,2014,8,8141.0,132437,0,0
145,강원도,2014,8,6268.0,1510198,743000,248
146,충청북도,2014,8,6586.0,1578403,848000,253
147,충청남도,2014,8,6914.0,2087600,1203000,284
148,전라북도,2014,8,6436.0,1829437,923000,246
149,전라남도,2014,8,5685.0,1791887,973000,278
150,경상북도,2014,8,6563.0,2670922,1485000,270
151,경상남도,2014,8,6606.0,3307369,1702000,267
152,제주특별자치도,2014,8,7914.0,583335,329000,224
153,서울특별시,2014,9,19404.0,9975163,5449000,319
154,부산광역시,2014,9,9258.0,3452309,1760000,255
155,대구광역시,2014,9,8449.0,2474900,1275000,235
156,인천광역시,2014,9,9973.0,2862241,1544000,263
157,광주광역시,2014,9,7802.0,1504582,753000,249
158,대전광역시,2014,9,8048.0,1552692,788000,280
159,울산광역시,2014,9,8493.0,1151171,572000,295
160,경기도,2014,9,10501.0,12282013,6488000,278
161,세종특별자치시,2014,9,8282.0,132437,0,0
162,강원도,2014,9,6419.0,1510198,743000,248
163,충청북도,2014,9,6584.0,1578403,848000,253
